Time	Voltage (V)	Current (A)
2021-03-25T11:32:53.765287	7.54	0.0715
2021-03-25T11:32:54.052546	7.54	0.0716
2021-03-25T11:32:54.339806	7.54	0.0716
2021-03-25T11:32:54.627066	7.54	0.17
2021-03-25T11:32:54.914325	6.09	0.332
2021-03-25T11:32:55.201584	6.07	0.331
2021-03-25T11:32:55.488844	6.08	0.0571
2021-03-25T11:32:55.776103	7.55	0.0707
2021-03-25T11:32:56.062361	7.54	0.0708
2021-03-25T11:32:56.349621	7.54	0.0709
2021-03-25T11:32:56.636880	7.55	0.071
2021-03-25T11:32:56.924139	7.54	0.0711
2021-03-25T11:32:57.211398	7.54	0.0712
2021-03-25T11:32:57.498658	7.54	0.0712
2021-03-25T11:32:57.785917	7.54	0.0713
2021-03-25T11:32:58.073177	7.54	0.0713
2021-03-25T11:32:58.360436	7.54	0.0714
2021-03-25T11:32:58.647695	7.54	0.0714
2021-03-25T11:32:58.934954	7.55	0.0714
2021-03-25T11:32:59.222214	7.55	0.0715
2021-03-25T11:32:59.509473	7.54	0.0715
2021-03-25T11:32:59.796733	7.55	0.0716
2021-03-25T11:33:00.083992	7.54	0.0716
2021-03-25T11:33:00.371251	7.54	0.0717
2021-03-25T11:33:00.658511	7.54	0.332
2021-03-25T11:33:00.945770	6.08	0.331
2021-03-25T11:33:01.233029	6.09	0.331
2021-03-25T11:33:01.520289	6.09	0.0707
2021-03-25T11:33:01.807548	7.54	0.0708
2021-03-25T11:33:02.094807	7.54	0.071
2021-03-25T11:33:02.382067	7.54	0.0712
2021-03-25T11:33:02.669327	7.54	0.0713
2021-03-25T11:33:02.956586	7.55	0.0715
2021-03-25T11:33:03.243845	7.54	0.0716
2021-03-25T11:33:03.531104	7.54	0.0717
2021-03-25T11:33:03.818364	7.54	0.0718
2021-03-25T11:33:04.105623	7.54	0.072
2021-03-25T11:33:04.392882	7.54	0.0721
2021-03-25T11:33:04.680141	7.54	0.0722
2021-03-25T11:33:04.967401	7.54	0.0721
2021-03-25T11:33:05.254661	7.54	0.0719
2021-03-25T11:33:05.540919	7.54	0.0719
2021-03-25T11:33:05.828178	7.54	0.0717
2021-03-25T11:33:06.115438	7.54	0.0717
2021-03-25T11:33:06.402697	7.54	0.19
2021-03-25T11:33:06.689956	6.07	0.332
2021-03-25T11:33:06.977215	6.09	0.331
2021-03-25T11:33:07.264475	6.09	0.331
2021-03-25T11:33:07.551734	6.08	0.0705
2021-03-25T11:33:07.838994	7.54	0.0707
2021-03-25T11:33:08.126253	7.54	0.0708
2021-03-25T11:33:08.413512	7.54	0.0709
2021-03-25T11:33:08.700772	7.54	0.071
2021-03-25T11:33:08.988031	7.54	0.0711
2021-03-25T11:33:09.275291	7.54	0.0712
2021-03-25T11:33:09.562550	7.54	0.0712
2021-03-25T11:33:09.849809	7.54	0.0713
2021-03-25T11:33:10.137068	7.54	0.0713
2021-03-25T11:33:10.424328	7.55	0.0714
2021-03-25T11:33:10.711587	7.54	0.0714
2021-03-25T11:33:10.998846	7.54	0.0714
2021-03-25T11:33:11.286106	7.54	0.0715
2021-03-25T11:33:11.573366	7.54	0.0715
2021-03-25T11:33:11.860625	7.55	0.0716
2021-03-25T11:33:12.147884	7.54	0.0716
2021-03-25T11:33:12.435144	7.54	0.102
2021-03-25T11:33:12.722403	6.54	0.332
2021-03-25T11:33:13.009662	6.09	0.331
2021-03-25T11:33:13.296921	6.07	0.123
2021-03-25T11:33:13.584181	7.55	0.0708
2021-03-25T11:33:13.871440	7.54	0.0709
2021-03-25T11:33:14.158699	7.54	0.0709
2021-03-25T11:33:14.445959	7.54	0.0711
2021-03-25T11:33:14.733218	7.54	0.0711
2021-03-25T11:33:15.020477	7.54	0.0712
2021-03-25T11:33:15.307737	7.54	0.0712
2021-03-25T11:33:15.689081	7.54	0.0713
2021-03-25T11:33:15.882255	7.54	0.0714
2021-03-25T11:33:16.169515	7.54	0.0714
2021-03-25T11:33:16.456775	7.54	0.0715
2021-03-25T11:33:16.744034	7.54	0.0715
2021-03-25T11:33:17.031293	7.54	0.0715
2021-03-25T11:33:17.318552	7.54	0.0716
2021-03-25T11:33:17.605812	7.54	0.0716
2021-03-25T11:33:17.893071	7.54	0.0717
2021-03-25T11:33:18.180331	7.55	0.0717
2021-03-25T11:33:18.467590	7.54	0.332
2021-03-25T11:33:18.754849	6.09	0.331
2021-03-25T11:33:19.042109	6.07	0.331
2021-03-25T11:33:19.329368	6.09	0.0706
2021-03-25T11:33:19.616627	7.54	0.0708
2021-03-25T11:33:19.903887	7.54	0.071
2021-03-25T11:33:20.191146	7.55	0.0712
2021-03-25T11:33:20.478405	7.54	0.0713
2021-03-25T11:33:20.765665	7.54	0.0715
2021-03-25T11:33:21.052924	7.54	0.0716
2021-03-25T11:33:21.340184	7.54	0.0718
2021-03-25T11:33:21.627443	7.54	0.0718
2021-03-25T11:33:21.914703	7.54	0.072
2021-03-25T11:33:22.201962	7.54	0.072
2021-03-25T11:33:22.489221	7.54	0.0721
2021-03-25T11:33:22.776480	7.54	0.0721
2021-03-25T11:33:23.063740	7.54	0.0719
2021-03-25T11:33:23.350998	7.54	0.0719
2021-03-25T11:33:23.638258	7.54	0.0717
2021-03-25T11:33:23.924517	7.54	0.0717
2021-03-25T11:33:24.212777	7.55	0.183
2021-03-25T11:33:24.499035	6.07	0.332
2021-03-25T11:33:24.786295	6.08	0.331
2021-03-25T11:33:25.073554	6.09	0.331
2021-03-25T11:33:25.360813	6.08	0.0654
2021-03-25T11:33:25.648073	7.55	0.0706
2021-03-25T11:33:25.935332	7.54	0.0708
2021-03-25T11:33:26.222591	7.54	0.0709
2021-03-25T11:33:26.509851	7.54	0.071
2021-03-25T11:33:26.797110	7.54	0.0711
2021-03-25T11:33:27.084370	7.54	0.0712
2021-03-25T11:33:27.371629	7.54	0.0712
2021-03-25T11:33:27.658888	7.54	0.0713
2021-03-25T11:33:27.946148	7.54	0.0714
2021-03-25T11:33:28.233407	7.54	0.0714
2021-03-25T11:33:28.520666	7.54	0.0714
2021-03-25T11:33:28.807926	7.54	0.0715
2021-03-25T11:33:29.095185	7.54	0.0715
2021-03-25T11:33:29.382444	7.54	0.0716
2021-03-25T11:33:29.669704	7.54	0.0716
2021-03-25T11:33:29.956963	7.55	0.0716
2021-03-25T11:33:30.244222	7.54	0.0717
2021-03-25T11:33:30.531482	7.54	0.332
2021-03-25T11:33:30.818741	6.09	0.331
2021-03-25T11:33:31.106001	6.08	0.229
2021-03-25T11:33:31.393260	7.54	0.0707
2021-03-25T11:33:31.680519	7.54	0.0709
2021-03-25T11:33:31.967778	7.54	0.0709
2021-03-25T11:33:32.255038	7.54	0.0711
2021-03-25T11:33:32.542297	7.55	0.0711
2021-03-25T11:33:32.829557	7.54	0.0712
2021-03-25T11:33:33.116816	7.54	0.0713
2021-03-25T11:33:33.404075	7.54	0.0714
2021-03-25T11:33:33.691335	7.54	0.0714
2021-03-25T11:33:33.978594	7.55	0.0715
2021-03-25T11:33:34.265854	7.54	0.0715
2021-03-25T11:33:34.553113	7.54	0.0715
2021-03-25T11:33:34.840372	7.55	0.0716
2021-03-25T11:33:35.127631	7.54	0.0716
2021-03-25T11:33:35.414891	7.54	0.0716
2021-03-25T11:33:35.702150	7.54	0.0716
2021-03-25T11:33:35.989409	7.54	0.0717
2021-03-25T11:33:36.276669	7.55	0.336
2021-03-25T11:33:36.563928	6.08	0.332
2021-03-25T11:33:36.851188	6.08	0.331
2021-03-25T11:33:37.138447	6.08	0.0603
2021-03-25T11:33:37.425706	7.54	0.0708
2021-03-25T11:33:37.712966	7.54	0.071
2021-03-25T11:33:38.000225	7.55	0.0712
2021-03-25T11:33:38.287484	7.54	0.0713
2021-03-25T11:33:38.574744	7.54	0.0715
2021-03-25T11:33:38.862003	7.54	0.0715
2021-03-25T11:33:39.149262	7.54	0.0717
2021-03-25T11:33:39.436522	7.54	0.0717
2021-03-25T11:33:39.723781	7.54	0.0719
2021-03-25T11:33:40.011041	7.54	0.072
2021-03-25T11:33:40.298300	7.54	0.0721
2021-03-25T11:33:40.585559	7.54	0.072
2021-03-25T11:33:40.872818	7.54	0.0719
2021-03-25T11:33:41.160078	7.54	0.0718
2021-03-25T11:33:41.447337	7.54	0.0717
2021-03-25T11:33:41.734597	7.54	0.0717
2021-03-25T11:33:42.021856	7.54	0.0717
2021-03-25T11:33:42.309115	7.44	0.332
2021-03-25T11:33:42.596375	6.08	0.331
2021-03-25T11:33:42.883634	6.09	0.331
2021-03-25T11:33:43.170893	6.09	0.187
2021-03-25T11:33:43.458153	7.54	0.0706
2021-03-25T11:33:43.745412	7.54	0.0708
2021-03-25T11:33:44.032672	7.55	0.0709
2021-03-25T11:33:44.319931	7.54	0.071
2021-03-25T11:33:44.606189	7.54	0.0711
2021-03-25T11:33:44.894450	7.54	0.0712
2021-03-25T11:33:45.180708	7.54	0.0713
2021-03-25T11:33:45.468969	7.54	0.0713
2021-03-25T11:33:45.756228	7.54	0.0714
2021-03-25T11:33:46.042486	7.54	0.0714
2021-03-25T11:33:46.330746	7.55	0.0715
2021-03-25T11:33:46.617005	7.54	0.0715
2021-03-25T11:33:46.905265	7.54	0.0715
2021-03-25T11:33:47.191523	7.55	0.0716
2021-03-25T11:33:47.478783	7.54	0.0716
2021-03-25T11:33:47.767043	7.54	0.0716
2021-03-25T11:33:48.053301	7.54	0.0717
2021-03-25T11:33:48.340561	7.54	0.334
2021-03-25T11:33:48.627820	6.08	0.331
2021-03-25T11:33:48.915080	6.08	0.331
2021-03-25T11:33:49.202339	7.45	0.0707
2021-03-25T11:33:49.489598	7.55	0.0708
2021-03-25T11:33:49.776858	7.55	0.0709
2021-03-25T11:33:50.064117	7.54	0.0711
2021-03-25T11:33:50.351377	7.54	0.0711
2021-03-25T11:33:50.638636	7.54	0.0712
2021-03-25T11:33:50.925896	7.54	0.0712
2021-03-25T11:33:51.213155	7.55	0.0713
2021-03-25T11:33:51.500414	7.54	0.0714
2021-03-25T11:33:51.787673	7.54	0.0714
2021-03-25T11:33:52.074933	7.55	0.0714
2021-03-25T11:33:52.362192	7.54	0.0715
2021-03-25T11:33:52.649452	7.54	0.0715
2021-03-25T11:33:52.936712	7.54	0.0716
2021-03-25T11:33:53.223970	7.54	0.0716
