Time	Voltage (V)	Current (A)
2021-03-25T17:04:21.321432	-5.43e-05	-0.00619
2021-03-25T17:04:21.608691	-4.84e-05	-0.00131
2021-03-25T17:04:21.895951	-5.05e-05	-0.00775
2021-03-25T17:04:22.183210	-5.09e-05	0.000311
2021-03-25T17:04:22.470469	-4.89e-05	-0.00151
2021-03-25T17:04:22.756728	-4.95e-05	-0.00313
2021-03-25T17:04:23.044989	-4.89e-05	0.00577
2021-03-25T17:04:23.331247	-5.09e-05	-0.00411
2021-03-25T17:04:23.618506	-5.2e-05	0.00168
2021-03-25T17:04:23.905765	-5.14e-05	0.00259
2021-03-25T17:04:24.193025	-4.82e-05	0.00298
2021-03-25T17:04:24.480284	-4.93e-05	-0.00444
2021-03-25T17:04:24.767544	-5.11e-05	0.000831
2021-03-25T17:04:25.053802	-5.14e-05	-0.000209
2021-03-25T17:04:25.341061	-5.16e-05	-1.38e-05
2021-03-25T17:04:25.628320	-4.74e-05	-0.00866
2021-03-25T17:04:25.915580	-4.7e-05	-0.00287
2021-03-25T17:04:26.202839	-4.74e-05	0.000766
2021-03-25T17:04:26.490099	-4.68e-05	0.00213
2021-03-25T17:04:26.777358	-4.95e-05	-0.0032
2021-03-25T17:04:27.063616	-5.01e-05	0.00772
2021-03-25T17:04:27.350875	-4.8e-05	-0.00548
2021-03-25T17:04:27.638135	-4.89e-05	0.00213
2021-03-25T17:04:27.925395	-4.91e-05	-0.00372
2021-03-25T17:04:28.212654	-4.7e-05	-0.00554
2021-03-25T17:04:28.499913	-4.91e-05	0.00428
2021-03-25T17:04:28.787173	-4.65e-05	0.00174
2021-03-25T17:04:29.073431	0.0042	-0.00853
2021-03-25T17:04:29.360691	2.69	-0.00203
2021-03-25T17:04:29.647950	3.57	2.75
2021-03-25T17:04:29.935209	3.57	2.79
2021-03-25T17:04:30.222468	3.57	2.79
2021-03-25T17:04:30.509728	3.58	2.78
2021-03-25T17:04:30.796987	3.58	2.77
2021-03-25T17:04:31.084246	3.59	2.76
2021-03-25T17:04:31.370505	3.61	2.75
2021-03-25T17:04:31.657764	3.63	2.73
2021-03-25T17:04:31.945024	3.62	2.73
2021-03-25T17:04:32.232283	3.63	2.73
2021-03-25T17:04:32.519542	3.63	2.73
2021-03-25T17:04:32.806802	3.63	2.72
2021-03-25T17:04:33.093061	3.6	2.73
2021-03-25T17:04:33.380319	3.6	2.71
2021-03-25T17:04:33.667580	3.56	2.7
2021-03-25T17:04:33.954838	3.53	2.68
2021-03-25T17:04:34.242098	3.53	2.62
2021-03-25T17:04:34.529356	3.59	2.69
2021-03-25T17:04:34.816635	3.59	2.7
2021-03-25T17:04:35.103895	3.6	2.71
2021-03-25T17:04:35.391154	3.62	2.7
2021-03-25T17:04:35.677412	3.63	2.71
2021-03-25T17:04:35.964671	3.63	2.71
2021-03-25T17:04:36.251931	3.63	2.72
2021-03-25T17:04:36.539190	3.64	2.72
2021-03-25T17:04:36.826450	3.64	2.71
2021-03-25T17:04:37.113721	3.64	2.71
2021-03-25T17:04:37.399968	3.64	2.71
2021-03-25T17:04:37.687227	3.66	2.71
2021-03-25T17:04:37.974485	3.64	2.7
2021-03-25T17:04:38.261746	3.64	2.7
2021-03-25T17:04:38.549004	3.64	2.69
2021-03-25T17:04:38.836263	3.64	2.7
2021-03-25T17:04:39.123523	3.64	2.7
2021-03-25T17:04:39.410783	3.64	2.71
2021-03-25T17:04:39.698041	3.64	2.71
2021-03-25T17:04:39.984301	3.64	2.7
2021-03-25T17:04:40.271560	3.64	2.71
2021-03-25T17:04:40.558819	3.64	2.7
2021-03-25T17:04:40.846078	3.63	2.7
2021-03-25T17:04:41.133338	3.61	2.7
2021-03-25T17:04:41.420598	3.63	2.67
2021-03-25T17:04:41.707857	3.62	2.68
2021-03-25T17:04:41.994115	3.63	2.68
2021-03-25T17:04:42.281374	3.64	2.68
2021-03-25T17:04:42.568633	3.63	2.68
2021-03-25T17:04:42.855894	3.63	2.69
2021-03-25T17:04:43.143166	3.62	2.69
2021-03-25T17:04:43.430412	3.62	2.69
2021-03-25T17:04:43.716670	3.63	2.68
2021-03-25T17:04:44.003930	3.62	2.67
2021-03-25T17:04:44.291189	3.61	2.68
2021-03-25T17:04:44.578448	3.61	2.68
2021-03-25T17:04:44.865707	3.53	2.67
2021-03-25T17:04:45.152967	3.54	2.64
2021-03-25T17:04:45.440227	3.62	2.61
2021-03-25T17:04:45.727486	3.65	2.7
2021-03-25T17:04:46.014746	3.67	2.69
2021-03-25T17:04:46.301004	3.65	2.68
2021-03-25T17:04:46.588263	3.65	2.69
2021-03-25T17:04:46.875522	3.65	2.69
2021-03-25T17:04:47.162782	3.65	2.69
2021-03-25T17:04:47.450041	3.64	2.68
2021-03-25T17:04:47.737301	3.64	2.69
2021-03-25T17:04:48.024561	3.64	2.69
2021-03-25T17:04:48.310818	3.64	2.7
2021-03-25T17:04:48.598078	3.64	2.69
2021-03-25T17:04:48.885337	3.64	2.69
2021-03-25T17:04:49.172596	3.63	2.69
2021-03-25T17:04:49.459864	3.63	2.69
2021-03-25T17:04:49.747123	3.63	2.69
2021-03-25T17:04:50.034374	3.63	2.69
2021-03-25T17:04:50.321634	3.63	2.69
2021-03-25T17:04:50.607892	3.63	2.68
2021-03-25T17:04:50.895151	3.62	2.68
2021-03-25T17:04:51.182411	3.62	2.68
2021-03-25T17:04:51.469670	3.62	2.69
2021-03-25T17:04:51.756930	3.62	2.68
2021-03-25T17:04:52.044189	3.62	2.68
2021-03-25T17:04:52.331449	3.62	2.69
2021-03-25T17:04:52.618708	3.62	2.68
2021-03-25T17:04:52.904966	3.61	2.67
2021-03-25T17:04:53.192225	3.61	2.68
2021-03-25T17:04:53.479485	3.61	2.68
2021-03-25T17:04:53.766745	3.61	2.68
2021-03-25T17:04:54.054014	3.61	2.68
2021-03-25T17:04:54.341277	3.61	2.68
2021-03-25T17:04:54.628523	3.61	2.67
2021-03-25T17:04:54.914781	3.61	2.68
2021-03-25T17:04:55.202040	3.6	2.67
2021-03-25T17:04:55.489300	3.6	2.67
2021-03-25T17:04:55.776559	3.6	2.68
2021-03-25T17:04:56.063831	3.6	2.67
2021-03-25T17:04:56.351085	3.6	2.67
2021-03-25T17:04:56.638337	3.6	2.67
2021-03-25T17:04:56.924595	3.6	2.66
2021-03-25T17:04:57.211854	3.6	2.67
2021-03-25T17:04:57.499114	3.59	2.67
2021-03-25T17:04:57.786374	3.59	2.67
2021-03-25T17:04:58.073633	3.59	2.67
2021-03-25T17:04:58.360892	3.59	2.67
2021-03-25T17:04:58.648152	3.59	2.67
2021-03-25T17:04:58.935411	3.59	2.66
2021-03-25T17:04:59.221669	3.59	2.66
2021-03-25T17:04:59.508928	3.59	2.66
2021-03-25T17:04:59.796188	3.59	2.66
2021-03-25T17:05:00.083447	3.59	2.65
2021-03-25T17:05:00.370706	3.58	2.66
2021-03-25T17:05:00.657974	3.58	2.66
2021-03-25T17:05:00.945225	3.58	2.66
2021-03-25T17:05:01.231484	3.58	2.66
2021-03-25T17:05:01.518743	3.58	2.66
2021-03-25T17:05:01.806003	3.58	2.65
2021-03-25T17:05:02.093262	3.58	2.66
2021-03-25T17:05:02.380521	3.58	2.66
2021-03-25T17:05:02.667780	3.58	2.65
2021-03-25T17:05:02.955042	3.57	2.65
2021-03-25T17:05:03.242300	3.57	2.65
2021-03-25T17:05:03.529559	3.57	2.66
2021-03-25T17:05:03.815817	3.57	2.65
2021-03-25T17:05:04.103077	3.57	2.65
2021-03-25T17:05:04.390335	3.57	2.65
2021-03-25T17:05:04.677595	3.57	2.65
2021-03-25T17:05:04.964855	3.57	2.65
2021-03-25T17:05:05.252114	3.57	2.65
2021-03-25T17:05:05.539388	3.57	2.65
2021-03-25T17:05:05.825631	3.57	2.65
2021-03-25T17:05:06.112891	3.57	2.66
2021-03-25T17:05:06.400150	3.57	2.64
2021-03-25T17:05:06.687410	3.56	2.65
2021-03-25T17:05:06.974669	3.56	2.64
2021-03-25T17:05:07.261942	3.56	2.64
2021-03-25T17:05:07.549201	3.56	2.65
2021-03-25T17:05:07.836448	3.56	2.65
2021-03-25T17:05:08.123707	3.56	2.65
2021-03-25T17:05:08.409965	3.56	2.63
2021-03-25T17:05:08.697224	3.56	2.65
2021-03-25T17:05:08.984484	3.56	2.64
2021-03-25T17:05:09.271743	3.55	2.64
2021-03-25T17:05:09.559003	3.55	2.64
2021-03-25T17:05:09.846263	3.55	2.64
2021-03-25T17:05:10.133521	3.55	2.64
2021-03-25T17:05:10.419780	3.51	2.64
2021-03-25T17:05:10.707039	3.46	2.6
2021-03-25T17:05:10.994298	3.4	2.53
2021-03-25T17:05:11.281558	3.43	2.55
2021-03-25T17:05:11.568817	3.42	2.56
2021-03-25T17:05:11.856077	3.49	2.55
2021-03-25T17:05:12.143349	3.51	2.61
2021-03-25T17:05:12.430595	3.51	2.61
2021-03-25T17:05:12.717854	3.51	2.62
2021-03-25T17:05:13.004113	3.52	2.62
2021-03-25T17:05:13.291372	3.52	2.63
2021-03-25T17:05:13.578632	3.52	2.62
2021-03-25T17:05:13.865891	3.52	2.62
2021-03-25T17:05:14.153150	3.51	2.62
2021-03-25T17:05:14.440411	3.53	2.62
